NestId,BandId,age_days,mass,tarsus,bill_length_from_nares,posterior_bill_width,anterior_bill_width,mouth_width,humeral_length,tail_length,wing_length
EPPLNest2,0781-63845,0,4.7,8.3,,,,,,,
EPPLNest4,0781-63831,0,5.9,10.3,2.6,2.9,1.2,12.5,11.7,0,
EPPLNest4,0781-63832,0,5.5,8.7,2.6,2.9,1.1,12.2,10.1,0,
EPPLNest5,0781-63828,0,5.8,8.9,1.8,2.8,0.9,11.7,10.1,0,10
ARCANest1,0781-63829,1,8,10,1.7,2.6,1.1,13.9,10.6,0,9
ARCANest1,0781-63830,1,5.9,8.6,1.6,3.1,1.2,12.6,10.8,0,9
EPPLNest1,0781-63847,1,6.1,9.1,,,,,,,
EPPLNest2,0781-63846,1,6.1,9.6,,,,,,,
EPPLNest7,0781-63827,1,9,10.8,2.1,3.4,1.1,14.2,13.5,0,14
EPPLNest4,0781-63831,2,14.3,12.6,2.9,3.9,1.7,14,17.3,,20
EPPLNest4,0781-63832,2,10.6,10.1,2.2,3.4,1.2,14.2,14.3,,15
EPPLNest5,0781-63828,2,10.7,11.5,2.2,3.5,1.1,16.6,14.6,0,16
EPPLNest7,0781-63826,2,9.1,11.2,2.2,3.5,1.1,14.1,12.3,0,14
TILLNest2,0781-63833,2,9.2,9.8,1.9,3.4,0.9,13,12.6,,9
ARCANest1,0781-63829,3,12.2,12.5,2.2,2.9,1.4,15.7,15.8,3,20
ARCANest1,0781-63830,3,10.8,10.6,2.1,3.6,1.1,14.9,13.3,0,14
EPPLNest1,0781-63847,3,10,10.5,,,,,,,
EPPLNest2,0781-63846,3,12.6,9.2,,,,,,,
EPPLNest6,0781-63834,3,9.8,10.3,3.4,3.6,1.2,14,11.8,,16
EPPLNest7,0781-63827,3,15.5,14.1,2.8,3.5,1.6,16.2,19.3,4,22
EPPLNest2,0781-63845,4,16.2,12.1,,,,,,,
EPPLNest5,0781-63828,4,17.9,12.7,2.4,3.8,1.2,16.6,17.6,4,19
EPPLNest7,0781-63826,4,14.8,13.9,2.8,3.8,1.6,15.4,19.1,1,21
TILLNest2,0781-63833,4,17.4,13.5,2.1,4.2,1.2,15.6,17.6,,21
ARCANest1,0781-63829,5,18,14.3,2.8,3.6,1.3,17.9,20.6,7,31
ARCANest1,0781-63830,5,17,13.6,2.8,3.2,1.3,17.2,18.2,6,26
EPPLNest1,0781-63847,5,17,13.4,,,,,,,
EPPLNest2,0781-63846,5,14.9,13,3.6,3.6,2,14,18.8,,21
EPPLNest4,0781-63831,5,23.5,16.2,3.1,3.9,1.6,18.4,21.8,11,39
EPPLNest4,0781-63832,5,21.8,13.6,2.8,3.6,1.3,17.3,22.4,9,30
EPPLNest6,0781-63834,5,16.8,13.7,3.1,3.9,1.9,15.1,18.6,3,24
EPPLNest7,0781-63827,5,21.5,15.9,3.5,3.9,1.6,17.9,23.7,9,32
EPPLNest2,0781-63845,6,23.3,13.9,,,,,,,
EPPLNest5,0781-63828,6,23.8,14.6,2.9,3.9,1.7,18.4,23.9,11,36
EPPLNest7,0781-63826,6,23.2,14.9,3.1,4,1.5,18.6,23.9,6,31
ARCANest1,0781-63829,7,24,15.1,3.2,3.6,1.4,18.3,25.8,11,41
ARCANest1,0781-63830,7,25.2,14.8,3.2,3.5,2,17.8,23.8,9,36
EPPLNest1,0781-63847,7,23.4,15.4,,,,,,,
EPPLNest2,0781-63846,7,23.7,13.9,3.6,4.4,1.9,17.7,22.9,6.5,33
EPPLNest4,0781-63831,7,26,16.4,4.2,4.1,1.7,17.9,27.9,21,50
EPPLNest4,0781-63832,7,25.4,15,3.7,3.9,1.9,17.8,25.7,10,45
EPPLNest6,0781-63834,7,22,14.9,3.5,4,1.9,17.9,22.8,10,39
EPPLNest7,0781-63827,7,26.7,16.4,3.6,4.1,1.7,18.7,27,13,43
TILLNest2,0781-63833,7,27.3,15.2,2.6,3.9,1.7,18.3,24.3,10,42
EPPLNest2,0781-63845,8,31.6,14.8,,,,,,,
EPPLNest7,0781-63826,8,29.1,16.3,3.7,3.9,1.7,19.5,27.3,11,44
ARCANest1,0781-63829,9,27.7,17.7,3.8,3.6,1.6,19.7,28.2,13,55
ARCANest1,0781-63830,9,29.8,16.1,4.1,4.2,2.1,21,28.3,14,50
EPPLNest2,0781-63846,9,29.1,15.7,4,4.2,1.9,19.5,26.3,13,46
EPPLNest4,0781-63831,9,29.8,16.4,4.3,4,1.8,18.9,29.9,20,62
EPPLNest4,0781-63832,9,29,15.8,3.3,3.8,1.7,20.8,30,15,54
EPPLNest6,0781-63834,9,29.8,16.1,3.8,4.9,2.1,19,26.3,13,49
EPPLNest7,0781-63827,9,30.5,17.2,3.9,4.3,1.8,20.1,29.8,14,56
EPPLNest7,0781-63826,10,32.3,16.8,3.9,4.5,1.8,20,30.8,13,60
ARCANest1,0781-63829,11,35.1,17.7,3.6,3.8,1.9,20.6,30.7,16,66
ARCANest1,0781-63830,11,35.7,17.1,4.2,4.4,1.9,20.8,31.6,18,62
EPPLNest7,0781-63827,11,34.4,16.8,4.4,4.9,1.8,21.5,31.7,20,68
EPPLNest7,0781-63826,12,36.5,17.3,4.6,4.8,2,20.7,32.4,19,68
ARCANest1,0781-63829,13,39.5,17.9,4.8,4.5,1.9,19.5,32.7,23,77
ARCANest1,0781-63830,13,40.3,18.4,4.8,4.7,2,21.1,32.2,22,74
EPPLNest7,0781-63827,14,40.4,17.2,4.9,4.7,2.2,20.6,33.7,27,80
ARCANest1,0781-63829,15,41.7,18.5,4.6,4.5,2.4,22.9,32.9,27,87
ARCANest1,0781-63830,15,42.6,18.7,4.9,5,2.2,22.5,34.1,30,82
EPPLNest7,0781-63826,15,38.5,17,4.1,4.5,2.3,20.8,33.2,30,84
